Source:,"EM-DAT, CRED / UCLouvain, Brussels, Belgium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,www.emdat.be,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version:,2022-03-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
File creation:,"Fri, 18 Mar 2022 20:25:14 CET",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table type:,Custom request,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of records:,590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,Aid Contribution,Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
2017-0512-USA,2017,0512,,Natural,Meteorological,Storm,Convective storm,Lightning/Thunderstorms,,United States of America (the),USA,Northern America,Americas,"Missouri, Indiana (Bedford in Lawrence, Muncie in Delaware, Salem in Washington, Blackford, Jay), Ohio (Celina in Mercer, Williamsfield in Ashtabula, Clyde in Sandusky, Bloomingville in Erie , Republic, West Lodi in Seneca, Galion in Crawford, Steuben, Norwalk, Fitchville, Wakeman in Huron, Nova and Hayesville in Ashland, South Vienna in Wayne, Calcutta in Columbiana, Clark), Pennsylvania (Erie in Erie), Illinois (Noble in Richland)",,Hail,,,,Yes,,,Kph,,,,,2017,11,5,2017,11,6,,8,,,8,,,200000,221092,260000,287419,90.46017931,1;2,3239,29352;29379;29392;29412;29421;29462;30722;30723;30731;30734;30736;30741;30758;30773;30791;30793;30804;30945,"Missouri (Adm1). Ashland, Ashtabula, Blackford, Clark, Columbiana, Crawford, Delaware, Erie, Huron, Jay, Lawrence, Mercer, Richland, Sandusky, Seneca, Washington, Wayne (Adm2)."
2017-0381-USA,2017,0381,TC-2017-000132,Natural,Meteorological,Storm,Tropical cyclone,,Hurricane 'Irma',United States of America (the),USA,Northern America,Americas,"Keys islands, Monroe, South Florida, Jacksonville (Duval), Marco Island, Naples (Collier), Fort Lauderdale (Broward), Lakeland (Polk), Orlando (Orange), Clay (Florida), Savannah, Tybee Island (Chatham), Brunswick, St. Simons Island (Glynn), McIntosh, Camden (Georgia), Charleston, Folly Beach, the Isle of Palms, Sullivan’s Island (Charleston) Hilton Head, Beaufort, Edisto Beach (Colleton) (South Carolina)",,Flood,,,,,,300,Kph,,,,,2017,9,10,2017,9,28,97,,,70000,70000,,,29000000,32058305,57000000,63011151,90.46017931,2,,29003;29007;29008;29012;29040;29041;29045;29050;29084;29089;29127;29162;30999;31002;31007,"Beaufort, Broward, Camden, Charleston, Chatham, Clay, Colleton, Collier, Duval, Glynn, McIntosh, Miami-Dade, Monroe, Orange, Polk (Adm2)."
2017-9342-TCD,2017,9342,OT-2017-000114,Natural,Climatological,Drought,Drought,,,Chad,TCD,Middle Africa,Africa,"Chari Baguimi, Guera, Lac, Kanem, Wadi Fira",,Food shortage,,,,,,,Km2,,,,,2017,3,,2017,5,,,,1886800,,1886800,,,,,,,90.46017931,1,870;873;875;12910;12915,,"Baguirmi, Biltine, Guera, Kanem, Lac (Adm1)."
2017-0108-USA,2017,0108,,Natural,Meteorological,Storm,Convective storm,Winter storm/Blizzard,,United States of America (the),USA,Northern America,Americas,"South Carolina, Georgia, North Carolina, Tennessee, Alabama, Mssissippi, Florida, Kentucky , Virginia",,,,,,,,,Kph,,,,,2017,3,13,2017,3,15,11,12,,,12,,,,,1000000,1105459,90.46017931,1,3214;3223;3224;3231;3238;3247;3254;3256;3260,,"Alabama, Florida, Georgia, Kentucky, Mississippi, North Carolina, South Carolina, Tennessee, Virginia (Adm1)."
2017-0022-USA,2017,0022,,Natural,Meteorological,Storm,Convective storm,Severe storm,,United States of America (the),USA,Northern America,Americas,"Georgia (cook), Mississippi, Alabama, Louisiana, Florida states",,,,,,Yes,,,Kph,,,,,2017,1,18,2017,1,23,24,200,,,200,,,800000,884367,1100000,1216005,90.46017931,1,3214;3223;3224;3232;3238,,"Alabama, Florida, Georgia, Louisiana, Mississippi (Adm1)."
2017-0383-USA,2017,0383,,Natural,Meteorological,Storm,Tropical cyclone,,Hurricane 'Maria',United States of America (the),USA,Northern America,Americas,"Jersey shore, Seaside Park, Point Pleasant Beach (Ocean), Long Branch (Monmouth) (New Jersey), Fernandina beach (Nassau-Florida)",,,,,,,,,Kph,,,,,2017,9,26,2017,9,27,4,,,,,,,,,,,90.46017931,2,,29042;30463;30465,"Monmouth, Nassau, Ocean (Adm2)."
2017-0410-USA,2017,0410,TC-2017-000148,Natural,Meteorological,Storm,Tropical cyclone,,Tropical depression'16/Hurricane 'Nate',United States of America (the),USA,Northern America,Americas,"Mexico Gulf, Louisiania, Mississippi (coastal areas, Biloxi), Alabama (Dauphin Island, Autauga, Chilton, Lowndes Counties), Florida, South Carolina (Pickens, Laurens, Spartanburg, Newberry, Greenville, Union), North Carolina (Polk, Wilkes, Ashe )",,,,,,,,140,Kph,,,,,2017,10,7,2017,10,8,,,60,,60,,,,,250000,276365,90.46017931,1;2,3223;3232,28691;28701;28733;28739;30101;30102;30108;30571;30641;30663;31015;31022;31028;31031;31034;31036,"Florida, Louisiana (Adm1). Ashe, Autauga, Chilton, Greenville, Hancock, Harrison, Jackson, Laurens, Lowndes, Mobile, Newberry, Pickens, Polk, Spartanburg, Union, Wilkes (Adm2)."
2017-9550-USA,2017,9550,,Natural,Climatological,Drought,Drought,,,United States of America (the),USA,Northern America,Americas,"Upper Midwest, Northern Rockies and parts of the West; North Dakota, South Dakota and Montana.",,,,,,,,,Km2,,,,,2017,3,1,2017,12,31,,,,,,,,1900000,2100372,2500000,2763647,90.46017931,1,3216;3218;3219;3226;3229;3236;3237;3240;3242;3243;3245;3248;3251;3255;3258;3261;3263;3264,,"Arizona, California, Colorado, Idaho, Iowa, Michigan, Minnesota, Montana, Nevada, New Hampshire, New Mexico, North Dakota, Oregon, South Dakota, Utah, Washington, Wisconsin, Wyoming (Adm1)."
2018-0111-USA,2018,0111,,Natural,Meteorological,Storm,Convective storm,Winter storm/Blizzard,,United States of America (the),USA,Northern America,Americas,"Massachusetts, New York, Virginia, Maryland, New Hampshire, New Jersey, Pennsylvania, Connecticut, Delaware",,Surge,Flood,,,Yes,,110,Kph,,,,,2018,3,1,2018,3,3,9,,,,,,,1400000,1510742,2300000,2481934,92.6696698,1,3220;3221;3234;3235;3243;3244;3246;3252;3260,,"Connecticut, Delaware, Maryland, Massachusetts, New Hampshire, New Jersey, New York, Pennsylvania, Virginia (Adm1)."
2018-0146-USA,2018,0146,,Natural,Geophysical,Volcanic activity,Lava flow,,Kilauea,United States of America (the),USA,Northern America,Americas,Hawaï,,Earthquake,,,,,,7,,,,,,2018,5,3,2018,5,30,,,2500,,2500,,,,,500000,539551,92.6696698,1,3225,,Hawaii (Adm1).
2018-0344-USA,2018,0344,,Natural,Meteorological,Storm,Convective storm,Lightning/Thunderstorms,,United States of America (the),USA,Northern America,Americas,"Colorado, Nebraska, Wyoming",,Hail,,,,,,,Kph,,,,,2018,8,6,2018,8,7,,18,,,18,,,615000,663648,1000000,1079102,92.6696698,1,3219;3241;3264,,"Colorado, Nebraska, Wyoming (Adm1)."
2018-0129-USA,2018,0129,,Natural,Meteorological,Storm,,,,United States of America (the),USA,Northern America,Americas,"Louisiana, Mississippi, North Carolina, Virginia, Arkansas, Florida, Georgia, Maryland, Michigan , Missouri , New Jersey, New York,Pennsylvania , South Carolina, Texas",,Hail,,,,,,,Kph,,,,,2018,4,13,2018,4,15,3,,,,,,,,,1300000,1402832,92.6696698,1,3217;3223;3224;3232;3234;3236;3238;3239;3244;3246;3247;3252;3254;3257;3260,,"Arkansas, Florida, Georgia, Louisiana, Maryland, Michigan, Mississippi, Missouri, New Jersey, New York, North Carolina, Pennsylvania, South Carolina, Texas, Virginia (Adm1)."
2018-0045-USA,2018,0045,,Natural,Meteorological,Storm,Convective storm,Winter storm/Blizzard,,United States of America (the),USA,Northern America,Americas,"Massachusetts , New Jersey, New York, Connecticut, Maine, New Hampshire, Pennsylvania, Maryland, Rhode Island , South Carolina, Tennessee, Virginia, North Carolina, Georgia",,Cold wave,,,,,,,Kph,,,,,2018,1,3,2018,1,5,22,,,,,,,,,1000000,1079102,92.6696698,1,3220;3224;3233;3234;3235;3243;3244;3246;3247;3252;3253;3254;3256;3260,,"Connecticut, Georgia, Maine, Maryland, Massachusetts, New Hampshire, New Jersey, New York, North Carolina, Pennsylvania, Rhode Island, South Carolina, Tennessee, Virginia (Adm1)."
2018-0457-USA,2018,0457,,Natural,Meteorological,Storm,Convective storm,Winter storm/Blizzard,,United States of America (the),USA,Northern America,Americas,"New Mexico, Texas, Iowa, Minnesota, Kansas, Louisiana, Tennessee",,Flood,,,,,,,Kph,,,,,2018,12,26,2018,12,28,2,,,,,,,,,150000,161865,92.6696698,1,3229;3230;3232;3237;3245;3256;3257,,"Iowa, Kansas, Louisiana, Minnesota, New Mexico, Tennessee, Texas (Adm1)."
2018-0342-USA,2018,0342,,Natural,Meteorological,Storm,Tropical cyclone,,Hurricane Florence,United States of America (the),USA,Northern America,Americas,"South and North Carolina, Virginia",,Flood,,,,Yes,,,Kph,,,,,2018,9,12,2018,9,18,53,,1500000,,1500000,,,5000000,5395509,14000000,15107424,92.6696698,1,3247;3254;3260,,"North Carolina, South Carolina, Virginia (Adm1)."
2018-0373-USA,2018,0373,,Natural,Meteorological,Storm,Tropical cyclone,,Hurricane Michael,United States of America (the),USA,Northern America,Americas,"Florida, Georgia, Alabama, North Carolina, Virginia, Maryland",,Surge,,,,,,250,Kph,,,,,2018,10,10,2018,10,11,49,,5000,,5000,,,10000000,10791017,16000000,17265628,92.6696698,1,3214;3223;3224;3234;3247;3260,,"Alabama, Florida, Georgia, Maryland, North Carolina, Virginia (Adm1)."
2018-0279-USA,2018,0279,,Natural,Meteorological,Storm,Convective storm,Tornado,,United States of America (the),USA,Northern America,Americas,"Pella, Marshalltown (Iowa); Missouri , Illinois, Indiana, Kansas, Kentucky, Alabama, Arkansas, Georgia, Tennessee, North Carolina, South Carolina, Viriginia, Maryland , Pennsylvania",,Lightening,,,,,,,Kph,,,,,2018,7,19,2018,7,22,,,,,,,,400000,431641,1500000,1618653,92.6696698,1;2,3214;3217;3224;3227;3228;3230;3231;3234;3239;3247;3252;3254;3256;3260,29529;29530,"Alabama, Arkansas, Georgia, Illinois, Indiana, Kansas, Kentucky, Maryland, Missouri, North Carolina, Pennsylvania, South Carolina, Tennessee, Virginia (Adm1). Marion, Marshall (Adm2)."
2018-0046-USA,2018,0046,,Natural,Meteorological,Storm,Convective storm,Winter storm/Blizzard,,United States of America (the),USA,Northern America,Americas,"Colorado, PLains and Midwest",,,,,,,,,Kph,,,,,2018,1,21,2018,1,24,10,,,,,,,,,50000,53955,92.6696698,1,3219;3227;3228;3229;3230;3236;3237;3239;3241;3248;3249;3250;3255,,"Colorado, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, North Dakota, Ohio, Oklahoma, South Dakota (Adm1)."
2018-0206-USA,2018,0206,,Natural,Meteorological,Storm,Convective storm,,,United States of America (the),USA,Northern America,Americas,"New York City, Washington DC, Baltimore, Maryland, Texas, Kansas, Colorado, Oklahoma, Missouri, Illinois, Indiana, Iowa, New Jesey, Pennsylvania, Virginia, West Virginia, Massachusetts, Connecticut",,,,,,,,110,Kph,,,,,2018,5,13,2018,5,15,5,,75,,75,,,,,1450000,1564697,92.6696698,1;2,3219;3220;3222;3227;3228;3229;3230;3235;3239;3244;3246;3250;3252;3257;3260;3262,29873,"Colorado, Connecticut, District of Columbia, Illinois, Indiana, Iowa, Kansas, Massachusetts, Missouri, New Jersey, New York, Oklahoma, Pennsylvania, Texas, Virginia, West Virginia (Adm1). Baltimore (Adm2)."
2018-0170-USA,2018,0170,,Natural,Meteorological,Storm,Tropical cyclone,,Tropical storm 'Alberto',United States of America (the),USA,Northern America,Americas,Southeast,,,,,,,,,Kph,,,,,2018,5,27,2018,5,30,5,,,,,,,,,125000,134888,92.6696698,1,3214;3217;3223;3224;3231;3232;3238;3247;3254;3256;3260;3262,,"Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia (Adm1)."
2018-9476-USA,2018,9476,,Natural,Climatological,Drought,Drought,,,United States of America (the),USA,Northern America,Americas,Nationwide,,,,,,,,,Km2,,,,,2018,1,,2018,12,,,,,,,,,,,3000000,3237305,92.6696698,1,3214;3216;3217;3218;3219;3220;3221;3222;3223;3224;3225;3226;3227;3228;3229;3230;3231;3232;3233;3234;3235;3236;3237;3238;3239;3240;3241;3242;3243;3244;3245;3246;3247;3248;3249;3250;3251;3252;3253;3254;3255;3256;3257;3258;3259;3260;3261;3262;3263;3264,,"Alabama, Arizona, Arkansas, California, Colorado, Connecticut, Delaware, District of Columbia, Florida, Georgia, Hawaii, Idaho, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maine, Maryland, Massachusetts, Michigan, Minnesota, Mississippi, Missouri, Montana, Nebraska, Nevada, New Hampshire, New Jersey, New Mexico, New York, North Carolina, North Dakota, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Vermont, Virginia, Washington, West Virginia, Wisconsin, Wyoming (Adm1)."
2019-0089-USA,2019,0089,,Natural,Meteorological,Storm,Convective storm,Lightning/Thunderstorms,,United States of America (the),USA,Northern America,Americas,"Tennessee, Mississippi, Alabama, Illinois, Indiana, Ohio, Connecticut, Maryland, Massachusetts, New Jersey, New-York, Pennsylvania, Virginia, West Virginia states",,Hail,Flood,,,,,,Kph,,,,,2019,2,23,2019,2,25,2,12,,,12,,,,,1200000,1271872,94.3490925,1,3214;3220;3227;3228;3234;3235;3238;3244;3246;3249;3252;3256;3260;3262,,"Alabama, Connecticut, Illinois, Indiana, Maryland, Massachusetts, Mississippi, New Jersey, New York, Ohio, Pennsylvania, Tennessee, Virginia, West Virginia (Adm1)."
2019-0045-USA,2019,0045,,Natural,Meteorological,Storm,Convective storm,Sand/Dust storm,,United States of America (the),USA,Northern America,Americas,Midwest and Northeast,,Snow/ice,Lightening,,,,,,Kph,,,,,2019,1,18,2019,1,21,10,,,,,,,,,100000,105989,94.3490925,1,3220;3227;3228;3229;3230;3233;3235;3236;3237;3239;3241;3243;3244;3246;3248;3249;3252;3253;3255;3259;3263,,"Connecticut, Illinois, Indiana, Iowa, Kansas, Maine, Massachusetts, Michigan, Minnesota, Missouri, Nebraska, New Hampshire, New Jersey, New York, North Dakota, Ohio, Pennsylvania, Rhode Island, South Dakota, Vermont, Wisconsin (Adm1)."
2019-0160-USA,2019,0160,,Natural,Meteorological,Storm,Convective storm,Tornado,,United States of America (the),USA,Northern America,Americas,"Robertson, Angelina, Houston and Cherokee Counties (Texas); Louisiana, Arkansas, Mississippi, Alabama, Georgia, North Carolina, Ohio, Pennyslvania",,Hail,,,,,,160,Kph,,,,,2019,4,13,2019,4,14,8,12,,165,177,,,,,1300000,1377862,94.3490925,1;2,3214;3217;3224;3232;3238;3247;3249;3252,31202;31236;31312;31397,"Alabama, Arkansas, Georgia, Louisiana, Mississippi, North Carolina, Ohio, Pennsylvania (Adm1). Angelina, Cherokee, Houston, Robertson (Adm2)."
2019-0046-USA,2019,0046,,Natural,Meteorological,Storm,Convective storm,Winter storm/Blizzard,,United States of America (the),USA,Northern America,Americas,Upper midwest,,Cold wave,,,,,,,Kph,,,,,2019,1,29,2019,1,31,22,,,,,,,,,,,94.3490925,1,3229;3236;3237;3248;3255;3263,,"Iowa, Michigan, Minnesota, North Dakota, South Dakota, Wisconsin (Adm1)."
2019-0184-USA,2019,0184,,Natural,Meteorological,Storm,Convective storm,Lightning/Thunderstorms,,United States of America (the),USA,Northern America,Americas,"Texas, Lousiana states",,Flood,,,,Yes,,,Kph,,,,,2019,4,24,2019,4,26,5,,,,,,,,,,,94.3490925,1,3232;3257,,"Louisiana, Texas (Adm1)."
2019-0532-CAN,2019,0532,,Natural,Meteorological,Storm,Convective storm,Severe storm,,Canada,CAN,Northern America,Americas,"Bromont, Sherbrooke (Quebec); Ontario",,Flood,,,,,,100,Kph,,,,,2019,10,31,2019,11,2,1,,,,,,,,,275000,291471,94.3490925,1;2,833,12706;12735,"Ontario (Adm1). Brome-Missisquoi, Sherbrooke (Adm2)."
2019-0007-USA,2019,0007,,Natural,Meteorological,Storm,Convective storm,Winter storm/Blizzard,,United States of America (the),USA,Northern America,Americas,"Missouri, Illinois, Iowa, Kansas, Nebraska, Washington DC, Virginia, Colorado, North, South Carolina",,Snow/ice,,,,Yes,,,Kph,,,,,2019,1,11,2019,1,15,13,57,,,57,,,,,,,94.3490925,1,3219;3222;3227;3229;3230;3239;3241;3247;3254;3260,,"Colorado, District of Columbia, Illinois, Iowa, Kansas, Missouri, Nebraska, North Carolina, South Carolina, Virginia (Adm1)."
2019-0081-USA,2019,0081,,Natural,Meteorological,Storm,Convective storm,Tornado,,United States of America (the),USA,Northern America,Americas,"Alabama, Georgia, South Carolina, Florida, Mississippi,",,,,,,,,,Kph,,,,,2019,3,3,2019,3,4,28,90,,,90,,,140000,148385,190000,201380,94.3490925,1,3214;3223;3224;3238;3254,,"Alabama, Florida, Georgia, Mississippi, South Carolina (Adm1)."
2019-0358-BOL,2019,0358,,Natural,Geophysical,Volcanic activity,Ash fall,,Ubinas,Bolivia (Plurinational State of),BOL,South America,Americas,"Lake Titicaca on the Peru-Bolivia border, La Paz department",,,,,,,,,,,,,,2019,7,19,2019,7,23,,,3000,,3000,,,,,,,94.3490925,1,40446,,La Paz (Adm1).
2020-0266-CAN,2020,0266,,Natural,Meteorological,Storm,Convective storm,Severe storm,,Canada,CAN,Northern America,Americas,Calgary (Alberta),,Hail,,,,,,,Kph,,,,,2020,6,13,2020,6,14,,,60000,,60000,,,900000,942280,1200000,1256374,95.51296742,2,,12525,Division No. 6 (Adm2).
2020-0109-BDI,2020,0109,,Natural,Meteorological,Storm,Convective storm,Lightning/Thunderstorms,,Burundi,BDI,Eastern Africa,Africa,"Gitega, Ruyigi, Bujumbura Mairie, Rumonge provinces.",,Flood,,,,,,,Kph,,,,,2020,3,16,2020,3,22,2,,5000,,5000,,,,,,,95.51296742,1;2,40543;40548;40558,40580;40596,"Bujumbura Mairie, Gitega, Ruyigi (Adm1). Bugarama, Rumonge (Adm2)."
2019-0334-IDN,2019,0334,,Natural,Geophysical,Earthquake,Ground movement,,,Indonesia,IDN,South-Eastern Asia,Asia,North Maluku Province,,Tsunami/Tidal wave,,,,Yes,,7,Richter,-0.586,128.034,,,2019,7,14,2019,7,14,8,134,5790,5880,11804,,,,,,,94.3490925,1,73616,,Maluku Utara (Adm1).
2019-0418-MEX,2019,0418,,Natural,Meteorological,Storm,Tropical cyclone,,Tropical cyclone 'Lorena',Mexico,MEX,Central America,Americas,"Baja California Peninsula, coastal Baja California Sur, Jalisco, Sinaloa, Nayarit, Michoacan, Colima States",,Flood,,,,,,130,Kph,,,,,2019,9,20,2019,9,20,1,,200,,200,,,,,,,94.3490925,1,2029;2030;2035;2041;2043;2045;2052,,"Baja California, Baja California Sur, Colima, Jalisco, Michoacan, Nayarit, Sinaloa (Adm1)."
2019-0519-MEX,2019,0519,,Natural,Meteorological,Storm,Tropical cyclone,,Tropical storm 'Fernand',Mexico,MEX,Central America,Americas,"Coahuila, Nuevo León, Tamaulipas, San Luis Potosí states",,Flood,,,,,,,Kph,,,,,2019,9,5,2019,9,6,1,,,,,,,25000,26497,383000,405939,94.3490925,1,2034;2046;2051;2055,,"Coahuila, Nuevo Leon, San Luis Potosi, Tamaulipas (Adm1)."
2019-0377-IDN,2019,0377,,Natural,Geophysical,Earthquake,Ground movement,,,Indonesia,IDN,South-Eastern Asia,Asia,Pandeglang (Banten Province); Bandar Lampung (Lampung Province),,,,,,,,7,Richter,-7.282,104.791,19:03,104.791,2019,8,2,2019,8,2,6,4,2100,,2104,,,,,,,94.3490925,2,,18022;18134,"Kota Bandarlampung, Pandeglang (Adm2)."
2019-0451-IDN,2019,0451,,Natural,Geophysical,Earthquake,Ground movement,,,Indonesia,IDN,South-Eastern Asia,Asia,"Ambon, Nusaniwe, Sirimau, Baguala, Teluk ambon, Leitimur Selatan distrcits (Maluku Province)",,,,,,Yes,,7,Richter,-3.45,128.347,08:46,,2019,9,26,2019,9,26,31,179,247239,,247418,,,,,,,94.3490925,1,73615,,Maluku (Adm1).
2019-0450-MEX,2019,0450,,Natural,Meteorological,Storm,Tropical cyclone,,Tropical storm 'Narda',Mexico,MEX,Central America,Americas,Oaxaca state,,,,,,,,55,Kph,,,,,2019,9,30,2019,9,30,2,,1000,,1000,,,,,,,94.3490925,1,2047,,Oaxaca (Adm1).
2019-0356-PHL,2019,0356,,Natural,Geophysical,Earthquake,Ground movement,,,Philippines (the),PHL,South-Eastern Asia,Asia,"Cantilan, Carmen, Carrascal, Lanuza, Madrid (Surigao del Sur)",,,,,,,,6,Richter,9.32,125.99,04:42,,2019,7,13,2019,7,13,,52,9525,,9577,,,,,,,94.3490925,2,,24278,Surigao Del Sur (Adm2).
2019-0362-PHL,2019,0362,EQ-2019-000086,Natural,Geophysical,Earthquake,Ground movement,,,Philippines (the),PHL,South-Eastern Asia,Asia,Itbayat Island (Batanes Province),,,,,,,,6,Richter,20.807,121.986,04:16,,2019,7,27,2019,7,27,9,64,2963,,3027,,,,,5258,5573,94.3490925,2,,24215,Batanes (Adm2).
2019-0489-PHL,2019,0489,,Natural,Geophysical,Earthquake,Ground movement,,,Philippines (the),PHL,South-Eastern Asia,Asia,North Cotabato Province (Mindanao Island),,,,,,,,6,Richter,6.714,125.009,19:37,,2019,10,16,2019,10,16,7,215,3068,,3283,,,,,,,94.3490925,2,,24273,North Cotabato (Adm2).
2019-0522-PHL,2019,0522,EQ-2019-000129,Natural,Geophysical,Earthquake,Ground movement,,,Philippines (the),PHL,South-Eastern Asia,Asia,Davao del Sur and South Cotabato provinces; North Cotabato Province (Mindanao Island),,,,,,,,7,Richter,6.754,124.985,09:04,,2019,10,29,2019,10,29,10,395,25630,,26025,,,,,,,94.3490925,2,,24268;24271;24273,"Davao Del Sur, North Cotabato, South Cotabato (Adm2)."
2020-0219-MEX,2020,0219,,Natural,Meteorological,Storm,Tropical cyclone,,Tropical storm 'Cristobal',Mexico,MEX,Central America,Americas,"Ciudad del Carmen (Campeche State); Quintana Roo, Yucatan, Tabasco, Chiapas Oaxaca, Veracruz states",,"Slide (land, mud, snow, rock)",,,,,,75,Kph,,,,,2020,6,3,2020,6,3,,,606,,606,,,,,,,95.51296742,1;2,2032;2047;2050;2054;2057;2058,19591,"Chiapas, Oaxaca, Quintana Roo, Tabasco, Veracruz, Yucatan (Adm1). Carmen (Adm2)."
2020-0316-MEX,2020,0316,,Natural,Meteorological,Storm,Tropical cyclone,,Hurricane 'Hanna',Mexico,MEX,Central America,Americas,"Coahuila, Nuevo León,Tamaulipas states",,Flood,,,,,,,Kph,,,,,2020,7,25,2020,7,26,5,,,,,,,,,135000,141342,95.51296742,1,2034;2046;2055,,"Coahuila, Nuevo Leon, Tamaulipas (Adm1)."
2020-9570-NER,2020,9570,,Natural,Climatological,Drought,Drought,,,Niger (the),NER,Western Africa,Africa,"Diffa, Tahoua, Zinder, Maradi, Agadez, Tillabéri regions",,Food shortage,,,,,,,Km2,,,,,2020,,,2020,12,23,,,3700000,,3700000,,,,,,,95.51296742,1,2202;2203;2205;2207;2208;2209,,"Agadez, Diffa, Maradi, Tahoua, Tillaberi, Zinder (Adm1)."
2020-0225-IDN,2020,0225,,Natural,Geophysical,Earthquake,Ground movement,,,Indonesia,IDN,South-Eastern Asia,Asia,"South Morotai, East Morotai, North Morotai, Morotai Jaya, South West Morotai, Rau Island (Bau Island)",,,,,,,,6,Richter,2.911,128.248,15:49,,2020,6,4,2020,6,4,,,1490,70,1560,,,,,,,95.51296742,2,,73681,Halmahera Utara (Adm2).
2020-0517-IDN,2020,0517,VO-2020-000236,Natural,Geophysical,Volcanic activity,Ash fall,,Lewotolo Volcano,Indonesia,IDN,South-Eastern Asia,Asia,"Lembata Regency, Solor Archipelago",,,,,,,,,,,,,,2020,11,29,2020,12,31,,,19736,,19736,,,,,,,95.51296742,1,1529,,Nusatenggara Timur (Adm1).
2020-0518-IDN,2020,0518,,Natural,Geophysical,Volcanic activity,Lava flow,,Mount Semeru,Indonesia,IDN,South-Eastern Asia,Asia,East Java Province,,,,,,,,,,,,,,2020,12,1,2020,12,1,,,550,,550,,,,,,,95.51296742,1,1521,,Jawa Timur (Adm1).
2020-0281-MEX,2020,0281,,Natural,Geophysical,Earthquake,Ground movement,,,Mexico,MEX,Central America,Americas,South Oaxaca State (Mexico),,,,,,Yes,,7,Richter,15.916,-95.953,04:03,,2020,6,23,2020,6,23,10,24,24369,,24393,,,,,75000,78523,95.51296742,1,2047,,Oaxaca (Adm1).
2020-0416-MEX,2020,0416,,Natural,Meteorological,Storm,Tropical cyclone,,Tropical storm 'Gamma',Mexico,MEX,Central America,Americas,"Tabasco, Quintana Roo, Yucatán, Campeche",,,,,,,,56,Kph,,,,,2020,10,2,2020,10,6,6,,3500,,3500,,,,,100000,104698,95.51296742,1,2031;2050;2054;2058,,"Campeche, Quintana Roo, Tabasco, Yucatan (Adm1)."
